Condition,Subject,Session,L1_RclP,L2_RclP,L3_RclP,L4_RclP,L5_RclP,L6_RclP,Int1_6,Int2_6,Int3_6,Int4_6,Int5_6,Intru_L6_Total,L1_ARC,L2_ARC,L3_ARC,L4_ARC,L5_ARC,L6_ARC
Always-Tested,118,1,0.87,0.73,0.93,0.93,0.87,0.33,0,0,1,0,0,1,0.05,0.78,0.44,0.58,0.68,-0.67
Always-Tested,119,2,0.80,0.93,0.93,0.93,1.00,0.87,0,0,0,0,0,0,0.33,0.52,0.58,0.52,0.38,0.52
Always-Tested,120,3,0.80,0.53,0.73,0.80,0.93,0.80,0,0,0,0,0,0,0.45,0.56,0.56,0.63,0.30,0.50
Always-Tested,121,4,0.73,0.67,0.33,0.53,0.40,0.20,0,0,0,0,0,0,0.34,-0.14,1.00,0.30,1.00,0.00
Always-Tested,123,6,0.67,0.73,0.80,0.60,0.47,0.47,0,0,0,0,0,0,0.00,-0.10,0.44,0.45,1.00,1.00
Always-Tested,124,1,0.60,0.67,0.33,0.93,0.93,1.00,0,0,0,0,0,0,0.13,0.44,1.00,-0.12,0.02,-0.16
Always-Tested,125,2,0.73,0.67,0.47,0.93,0.67,0.67,0,0,0,0,0,0,0.37,0.65,-0.08,0.02,-0.05,0.47
Always-Tested,127,4,0.60,0.60,0.67,0.60,0.80,0.53,0,0,0,0,0,0,-0.09,-0.38,-0.32,1.00,0.45,1.00
Always-Tested,128,5,0.60,0.80,0.80,0.40,0.73,0.53,0,0,0,0,0,0,0.17,0.78,0.82,0.44,1.00,1.00
Always-Tested,129,6,0.80,0.93,0.93,0.87,0.93,0.93,0,0,0,0,0,0,0.25,0.30,0.44,0.45,0.58,0.02
Always-Tested,130,1,0.93,0.80,0.87,0.87,0.87,1.00,0,0,0,0,0,0,0.58,0.82,0.68,0.52,0.52,0.63
Always-Tested,131,2,0.60,0.47,0.47,0.33,0.40,0.47,0,0,0,0,0,0,0.00,0.13,0.13,1.00,1.00,-0.08
Always-Tested,132,3,0.53,0.47,0.20,0.53,0.53,0.67,0,0,1,0,0,1,0.64,-0.20,0.00,1.00,0.00,0.74
Always-Tested,133,4,0.67,0.67,0.73,0.73,0.87,0.73,0,0,0,0,0,0,0.31,0.72,0.34,0.56,1.00,0.77
Always-Tested,134,5,0.80,0.87,0.93,0.73,0.27,0.47,0,0,0,0,0,0,0.63,-0.11,0.16,0.44,1.00,-0.40
Always-Tested,135,6,1.00,0.93,0.67,0.87,0.73,0.87,0,0,0,0,0,0,0.38,0.16,-0.05,0.05,-0.10,0.37
Always-Tested,136,1,0.47,0.27,0.53,0.67,0.67,0.53,0,0,0,0,0,0,1.00,-1.00,0.00,0.34,0.44,0.50
Always-Tested,137,2,0.47,0.20,0.47,0.13,0.40,0.33,1,0,1,0,0,2,0.13,0.00,0.46,0.00,1.00,1.00
Always-Tested,138,3,0.93,1.00,1.00,1.00,0.87,1.00,0,0,0,0,0,0,0.58,0.88,0.63,0.63,0.84,0.75
Always-Tested,139,4,0.40,0.60,0.47,0.60,0.60,0.53,0,0,0,0,0,0,-0.50,-0.04,-0.40,0.04,1.00,0.53
Always-Tested,140,5,0.73,0.67,0.67,0.47,0.27,0.40,0,0,0,0,2,2,0.15,0.74,-0.11,-0.40,1.00,1.00
Always-Tested,141,6,0.73,0.33,0.47,0.40,0.33,0.33,0,0,0,0,0,0,0.37,-0.25,0.30,-0.20,-0.67,1.00
Always-Tested,142,1,1.00,1.00,0.93,1.00,1.00,1.00,0,0,0,0,0,0,0.63,0.63,0.30,-0.25,0.38,0.00
Always-Tested,143,2,0.67,0.73,0.53,0.80,0.60,0.73,0,0,0,0,0,0,0.72,0.78,1.00,0.82,1.00,0.34
Always-Tested,145,4,0.40,0.53,0.27,0.20,0.27,0.33,0,0,0,0,1,1,-0.50,-0.50,0.00,0.00,0.00,1.00
Early-Tested,300,1,0.73,0.87,0.87,,,0.87,0,0,0,0,0,0,0.12,0.84,0.84,,,0.68
Early-Tested,301,2,0.53,0.47,0.80,,,0.13,0,0,0,0,0,0,0.11,1.00,0.49,,,0.00
Early-Tested,303,4,0.67,0.87,0.67,,,0.67,0,0,0,0,1,1,0.12,0.84,0.55,,,0.65
Early-Tested,304,5,0.73,1.00,1.00,,,0.47,0,0,0,0,0,0,0.54,0.50,0.75,,,1.00
Early-Tested,305,6,0.93,0.87,0.93,,,0.93,0,0,0,0,1,1,0.16,0.52,0.02,,,0.58
Early-Tested,306,1,0.87,0.73,0.53,,,0.80,0,0,0,0,0,0,0.17,0.56,1.00,,,1.00
Early-Tested,307,2,0.80,0.93,0.93,,,0.73,0,0,0,0,0,0,0.27,0.02,0.05,,,-0.25
Early-Tested,309,4,0.93,0.93,1.00,,,0.87,0,0,0,0,0,0,0.58,0.44,-0.13,,,-1.00
Early-Tested,310,5,0.40,0.73,0.73,,,0.47,0,0,1,1,0,2,-0.40,0.77,1.00,,,-0.08
Early-Tested,311,6,0.60,0.53,0.67,,,0.13,1,1,0,0,0,2,-0.04,0.27,1.00,,,0.00
Early-Tested,312,1,0.87,1.00,1.00,,,0.93,0,0,0,0,0,0,0.37,0.13,0.75,,,0.72
Early-Tested,314,3,0.80,0.80,0.87,,,0.60,0,0,0,0,2,2,1.00,1.00,0.84,,,0.65
Early-Tested,315,4,0.60,0.60,0.80,,,0.40,0,0,0,0,1,1,0.45,1.00,0.37,,,0.50
Early-Tested,316,5,0.73,0.73,0.93,,,0.40,0,0,0,0,0,0,-0.06,0.56,0.16,,,1.00
Early-Tested,317,6,0.73,0.73,0.53,,,0.13,0,1,1,6,2,10,0.44,0.37,0.50,,,0.00
Early-Tested,318,1,0.53,0.47,0.47,,,0.27,0,0,0,0,0,0,0.30,-0.40,0.07,,,0.00
Early-Tested,319,2,1.00,0.93,0.93,,,0.87,0,0,0,0,0,0,0.50,0.84,0.30,,,0.64
Early-Tested,320,3,0.40,0.80,0.87,,,0.93,0,0,0,1,0,1,1.00,1.00,0.68,,,0.86
Early-Tested,321,4,0.93,0.80,0.73,,,0.67,0,0,0,0,0,0,0.72,0.45,0.34,,,1.00
Early-Tested,323,6,0.47,0.73,0.80,,,0.87,0,0,0,0,1,1,0.30,0.42,0.25,,,1.00
Early-Tested,324,1,0.67,0.40,0.73,,,0.33,0,0,0,0,2,2,0.37,1.00,-0.10,,,-0.25
Early-Tested,325,2,0.73,0.40,0.53,,,0.00,0,0,0,4,0,4,0.56,0.40,0.56,,,0.00
Early-Tested,326,3,0.73,0.53,0.53,,,0.53,0,0,0,0,0,0,0.56,0.11,0.11,,,1.00
Early-Tested,327,4,0.73,0.60,0.47,,,0.40,0,0,0,0,0,0,0.37,0.65,-0.08,,,0.00
Early-Tested,328,5,0.87,0.93,0.80,,,0.47,0,0,0,1,0,1,0.52,-0.12,-0.13,,,-0.40
Early-Tested,329,6,0.40,0.33,0.33,,,0.27,0,0,0,0,0,0,0.00,1.00,0.00,,,-1.00
Early-Tested,331,2,0.60,0.60,0.60,,,0.33,0,0,0,0,0,0,0.36,0.11,0.45,,,-1.00
Early-Tested,332,3,0.33,0.60,1.00,,,0.00,0,2,1,1,0,4,-0.67,0.13,-0.25,,,0.00
Early-Tested,333,4,0.73,0.67,0.73,,,0.53,0,0,0,0,1,1,0.15,0.17,0.12,,,0.31
Early-Tested,334,5,0.47,0.53,0.20,,,0.00,0,0,0,0,1,1,-0.40,0.11,0.00,,,0.00
Early-Tested,335,6,0.47,0.47,0.60,,,0.00,0,0,0,2,3,5,0.30,-0.62,0.56,,,0.00
Early-Tested,336,1,0.87,0.67,1.00,,,0.40,0,0,0,8,0,8,0.05,0.44,0.38,,,-0.50
Early-Tested,337,2,0.87,1.00,0.53,,,0.27,1,0,0,2,2,5,0.37,0.50,0.56,,,-1.00
Early-Tested,338,3,0.60,0.87,0.87,,,0.67,0,0,0,0,0,0,0.36,0.52,0.37,,,0.21
Early-Tested,341,2,0.47,0.87,0.60,,,0.40,0,0,1,1,0,2,0.46,0.05,0.31,,,0.07
Early-Tested,342,3,0.93,0.73,0.67,,,0.53,0,0,0,0,0,0,0.44,0.78,0.77,,,0.00
Early-Tested,344,6,0.67,0.73,0.73,,,0.00,0,0,0,3,2,5,-0.05,-0.06,0.42,,,0.00
Early-Tested,346,5,0.67,0.67,1.00,,,0.80,0,0,0,0,0,0,0.72,0.74,0.63,,,1.00
Early-Tested,347,1,0.73,0.80,1.00,,,0.60,0,0,0,0,0,0,0.12,0.63,1.00,,,0.68
Early-Tested,349,3,0.73,0.80,0.67,,,0.13,0,0,0,0,0,0,0.12,0.63,0.47,,,0.00
Early-Tested,350,4,0.67,0.47,0.67,,,0.20,1,0,0,0,0,1,0.47,0.61,-0.05,,,-2.00
Early-Tested,351,5,0.60,0.47,0.80,,,0.27,0,0,0,0,1,1,0.45,0.07,0.82,,,-1.00
Not-Tested,200,1,,,,,,0.33,0,0,0,0,0,0,,,,,,-0.67
Not-Tested,203,4,,,,,,0.20,0,0,1,0,0,1,,,,,,1.00
Not-Tested,204,5,,,,,,0.40,0,0,0,0,0,0,,,,,,0.25
Not-Tested,206,1,,,,,,0.13,1,1,0,1,0,3,,,,,,0.00
