Expt,Subject,Session,TE,Cond,RCL-L6p,INT_list6,TEST_EXP1,TEST_EXP2,TEST_EXP3,TEST_EXP4,TEST_EXP5,TEST_EXP6,L1_ARC,L2_ARC,L3_ARC,L4_ARC,L5_ARC,L6_ARC
1,113,2,NTE,Early-Tested,0.33,1,,,,,,,,,0.64,,,-1.5
1,115,4,NTE,Early-Tested,0.27,1,,,,,,,,,0.12,,,0
1,116,1,NTE,Early-Tested,0.67,2,,,,,,,,,0.56,,,0.44
1,117,2,NTE,Early-Tested,0.33,4,,,,,,,,,-1,,,1
1,118,3,NTE,Early-Tested,0.47,1,,,,,,,,,0.17,,,-0.4
1,119,4,NTE,Early-Tested,0.6,0,,,,,,,,,0.21,,,0.73
1,120,1,NTE,Early-Tested,0,9,,,,,,,,,1,,,0
1,121,2,NTE,Early-Tested,0.73,0,,,,,,,,,0.27,,,0.58
1,122,3,NTE,Early-Tested,0.47,3,,,,,,,,,-0.4,,,1
1,123,4,NTE,Early-Tested,0.47,3,,,,,,,,,-0.23,,,1
1,124,1,NTE,Early-Tested,0.4,2,,,,,,,,,0.31,,,0.4
1,125,2,NTE,Early-Tested,0.93,0,,,,,,,,,0.3,,,0.3
1,126,3,NTE,Early-Tested,0.2,1,,,,,,,,,-0.16,,,-2
1,128,1,NTE,Early-Tested,0.4,1,,,,,,,,,-0.06,,,0.4
1,129,2,NTE,Early-Tested,0,5,,,,,,,,,0.07,,,0
1,130,3,NTE,Early-Tested,1,1,,,,,,,,,-0.26,,,0.5
1,131,4,NTE,Early-Tested,1,0,,,,,,,,,1,,,1
1,134,3,NTE,Early-Tested,0.07,2,,,,,,,,,1,,,0
1,135,4,NTE,Early-Tested,0.33,1,,,,,,,,,1,,,1
1,136,1,NTE,Early-Tested,0.67,2,,,,,,,,,0.12,,,-0.32
1,137,2,NTE,Early-Tested,0.6,1,,,,,,,,,0.45,,,0.31
1,138,3,NTE,Early-Tested,0.73,1,,,,,,,,,0.58,,,0.34
1,140,1,NTE,Early-Tested,0.93,0,,,,,,,,,0.86,,,1
1,141,2,NTE,Early-Tested,0.53,3,,,,,,,,,0.84,,,1
1,144,1,NTE,Early-Tested,0.4,2,,,,,,,,,0.51,,,1
1,145,2,NTE,Early-Tested,0.73,0,,,,,,,,,0.35,,,0.12
1,146,3,NTE,Early-Tested,0.73,1,,,,,,,,,0.25,,,0.37
1,147,4,NTE,Early-Tested,0.4,0,,,,,,,,,0.45,,,1
1,148,1,NTE,Early-Tested,0.47,2,,,,,,,,,1,,,0.3
1,150,3,NTE,Early-Tested,0.27,2,,,,,,,,,0.33,,,1
1,151,4,NTE,Early-Tested,0.33,1,,,,,,,,,-0.05,,,0.17
1,152,1,NTE,Early-Tested,0.47,0,,,,,,,,,0.86,,,1
1,202,3,NTE,Not-Tested,0.27,2,,,,,,,,,,,,-3
1,203,4,NTE,Not-Tested,0.47,1,,,,,,,,,,,,0.4
1,204,1,NTE,Not-Tested,0.33,1,,,,,,,,,,,,1
1,206,3,NTE,Not-Tested,0.27,2,,,,,,,,,,,,-1
1,207,4,NTE,Not-Tested,0.13,0,,,,,,,,,,,,0
1,209,2,NTE,Not-Tested,0.4,0,,,,,,,,,,,,1
1,210,3,NTE,Not-Tested,0.2,1,,,,,,,,,,,,0
1,212,1,NTE,Not-Tested,0.67,1,,,,,,,,,,,,0.44
1,215,4,NTE,Not-Tested,0.6,1,,,,,,,,,,,,1
1,218,3,NTE,Not-Tested,0.4,1,,,,,,,,,,,,0.25
1,220,1,NTE,Not-Tested,0.6,1,,,,,,,,,,,,-0.38
1,221,2,NTE,Not-Tested,0.2,4,,,,,,,,,,,,0
1,223,4,NTE,Not-Tested,0.73,0,,,,,,,,,,,,0.81
1,224,1,NTE,Not-Tested,0.67,0,,,,,,,,,,,,1
1,225,2,NTE,Not-Tested,0.53,3,,,,,,,,,,,,0.5
1,227,4,NTE,Not-Tested,0.13,5,,,,,,,,,,,,0
1,228,1,NTE,Not-Tested,0.2,0,,,,,,,,,,,,1
