"","date","country","activity","year","flu_activity_mean"
"228","2003-02-16","Sweden",0,"2003",0
"229","2003-02-16","Switzerland",0,"2003",23.5
"230","2003-02-16","Ukraine",0,"2003",0
"231","2003-02-16","United.States",0,"2003",831.365384615385
"232","2003-02-16","Uruguay",0,"2003",123.942307692308
"233","2003-02-23","Argentina",135,"2003",179.846153846154
"234","2003-02-23","Australia",0,"2003",0
"235","2003-02-23","Austria",0,"2003",195.730769230769
"236","2003-02-23","Belgium",0,"2003",68.9038461538462
"237","2003-02-23","Bolivia",426,"2003",433.903846153846
"238","2003-02-23","Brazil",194,"2003",238.192307692308
"239","2003-02-23","Bulgaria",0,"2003",0
"240","2003-02-23","Canada",0,"2003",899.692307692308
"241","2003-02-23","Chile",0,"2003",1.65384615384615
"242","2003-02-23","France",0,"2003",84.4230769230769
"243","2003-02-23","Germany",0,"2003",298.211538461538
"244","2003-02-23","Hungary",0,"2003",0
"245","2003-02-23","Japan",0,"2003",8.80769230769231
"246","2003-02-23","Mexico",0,"2003",254.480769230769
"247","2003-02-23","Netherlands",0,"2003",15.1153846153846
"248","2003-02-23","New.Zealand",0,"2003",0
"249","2003-02-23","Norway",0,"2003",0
"250","2003-02-23","Paraguay",0,"2003",0
"251","2003-02-23","Peru",274,"2003",393.096153846154
"252","2003-02-23","Poland",0,"2003",0
"253","2003-02-23","Romania",740,"2003",630.173076923077
"254","2003-02-23","Russia",0,"2003",0
"255","2003-02-23","South.Africa",0,"2003",0
"256","2003-02-23","Spain",0,"2003",20.8269230769231
"257","2003-02-23","Sweden",0,"2003",0
"258","2003-02-23","Switzerland",0,"2003",23.5
"259","2003-02-23","Ukraine",0,"2003",0
"260","2003-02-23","United.States",0,"2003",831.365384615385
"261","2003-02-23","Uruguay",0,"2003",123.942307692308
"262","2003-03-02","Argentina",134,"2003",179.846153846154
"263","2003-03-02","Australia",0,"2003",0
"264","2003-03-02","Austria",0,"2003",195.730769230769
"265","2003-03-02","Belgium",0,"2003",68.9038461538462
"266","2003-03-02","Bolivia",427,"2003",433.903846153846
"267","2003-03-02","Brazil",177,"2003",238.192307692308
"268","2003-03-02","Bulgaria",0,"2003",0
"269","2003-03-02","Canada",0,"2003",899.692307692308
"270","2003-03-02","Chile",0,"2003",1.65384615384615
"271","2003-03-02","France",0,"2003",84.4230769230769
"272","2003-03-02","Germany",0,"2003",298.211538461538
"273","2003-03-02","Hungary",0,"2003",0
"274","2003-03-02","Japan",0,"2003",8.80769230769231
"275","2003-03-02","Mexico",0,"2003",254.480769230769
"276","2003-03-02","Netherlands",0,"2003",15.1153846153846
"277","2003-03-02","New.Zealand",0,"2003",0
"278","2003-03-02","Norway",0,"2003",0
"279","2003-03-02","Paraguay",0,"2003",0
"280","2003-03-02","Peru",270,"2003",393.096153846154
"281","2003-03-02","Poland",0,"2003",0
"282","2003-03-02","Romania",864,"2003",630.173076923077
"283","2003-03-02","Russia",0,"2003",0
"284","2003-03-02","South.Africa",0,"2003",0
"285","2003-03-02","Spain",0,"2003",20.8269230769231
"286","2003-03-02","Sweden",0,"2003",0
"287","2003-03-02","Switzerland",0,"2003",23.5
"288","2003-03-02","Ukraine",0,"2003",0
"289","2003-03-02","United.States",0,"2003",831.365384615385
"290","2003-03-02","Uruguay",0,"2003",123.942307692308
"291","2003-03-09","Argentina",136,"2003",179.846153846154
"292","2003-03-09","Australia",0,"2003",0
"293","2003-03-09","Austria",0,"2003",195.730769230769
"294","2003-03-09","Belgium",0,"2003",68.9038461538462
"295","2003-03-09","Bolivia",460,"2003",433.903846153846
"296","2003-03-09","Brazil",223,"2003",238.192307692308
"297","2003-03-09","Bulgaria",0,"2003",0
"298","2003-03-09","Canada",0,"2003",899.692307692308
"299","2003-03-09","Chile",0,"2003",1.65384615384615
"300","2003-03-09","France",0,"2003",84.4230769230769
"301","2003-03-09","Germany",0,"2003",298.211538461538
"302","2003-03-09","Hungary",0,"2003",0
"303","2003-03-09","Japan",0,"2003",8.80769230769231
"304","2003-03-09","Mexico",0,"2003",254.480769230769
"305","2003-03-09","Netherlands",0,"2003",15.1153846153846
