"","date","country","activity","year","dengue_tidy_mean"
"198","2003-05-11","Singapore",0.14,"2003",0.131807692307692
"199","2003-05-11","Thailand",0,"2003",0
"200","2003-05-11","Venezuela",0.2,"2003",0.172442307692308
"201","2003-05-18","Argentina",0.039,"2003",0.0268653846153846
"202","2003-05-18","Bolivia",0.053,"2003",0.0758653846153846
"203","2003-05-18","Brazil",0.109,"2003",0.0835384615384615
"204","2003-05-18","India",0.019,"2003",0.170307692307692
"205","2003-05-18","Indonesia",0.061,"2003",0.0605192307692308
"206","2003-05-18","Mexico",0.069,"2003",0.0848846153846154
"207","2003-05-18","Philippines",0.057,"2003",0.0685
"208","2003-05-18","Singapore",0.151,"2003",0.131807692307692
"209","2003-05-18","Thailand",0,"2003",0
"210","2003-05-18","Venezuela",0.202,"2003",0.172442307692308
"211","2003-05-25","Argentina",0.039,"2003",0.0268653846153846
"212","2003-05-25","Bolivia",0.064,"2003",0.0758653846153846
"213","2003-05-25","Brazil",0.071,"2003",0.0835384615384615
"214","2003-05-25","India",0.015,"2003",0.170307692307692
"215","2003-05-25","Indonesia",0.062,"2003",0.0605192307692308
"216","2003-05-25","Mexico",0.074,"2003",0.0848846153846154
"217","2003-05-25","Philippines",0.055,"2003",0.0685
"218","2003-05-25","Singapore",0.175,"2003",0.131807692307692
"219","2003-05-25","Thailand",0,"2003",0
"220","2003-05-25","Venezuela",0.177,"2003",0.172442307692308
"221","2003-06-01","Argentina",0.034,"2003",0.0268653846153846
"222","2003-06-01","Bolivia",0.058,"2003",0.0758653846153846
"223","2003-06-01","Brazil",0.08,"2003",0.0835384615384615
"224","2003-06-01","India",0.031,"2003",0.170307692307692
"225","2003-06-01","Indonesia",0.082,"2003",0.0605192307692308
"226","2003-06-01","Mexico",0.079,"2003",0.0848846153846154
"227","2003-06-01","Philippines",0.062,"2003",0.0685
"228","2003-06-01","Singapore",0.161,"2003",0.131807692307692
"229","2003-06-01","Thailand",0,"2003",0
"230","2003-06-01","Venezuela",0.192,"2003",0.172442307692308
"231","2003-06-08","Argentina",0.039,"2003",0.0268653846153846
"232","2003-06-08","Bolivia",0.042,"2003",0.0758653846153846
"233","2003-06-08","Brazil",0.062,"2003",0.0835384615384615
"234","2003-06-08","India",0.05,"2003",0.170307692307692
"235","2003-06-08","Indonesia",0.069,"2003",0.0605192307692308
"236","2003-06-08","Mexico",0.088,"2003",0.0848846153846154
"237","2003-06-08","Philippines",0.059,"2003",0.0685
"238","2003-06-08","Singapore",0.15,"2003",0.131807692307692
"239","2003-06-08","Thailand",0,"2003",0
"240","2003-06-08","Venezuela",0.186,"2003",0.172442307692308
"241","2003-06-15","Argentina",0.039,"2003",0.0268653846153846
"242","2003-06-15","Bolivia",0.047,"2003",0.0758653846153846
"243","2003-06-15","Brazil",0.036,"2003",0.0835384615384615
"244","2003-06-15","India",0.094,"2003",0.170307692307692
"245","2003-06-15","Indonesia",0.055,"2003",0.0605192307692308
"246","2003-06-15","Mexico",0.074,"2003",0.0848846153846154
"247","2003-06-15","Philippines",0.059,"2003",0.0685
"248","2003-06-15","Singapore",0.163,"2003",0.131807692307692
"249","2003-06-15","Thailand",0,"2003",0
"250","2003-06-15","Venezuela",0.178,"2003",0.172442307692308
"251","2003-06-22","Argentina",0.039,"2003",0.0268653846153846
"252","2003-06-22","Bolivia",0.039,"2003",0.0758653846153846
"253","2003-06-22","Brazil",0.073,"2003",0.0835384615384615
"254","2003-06-22","India",0.165,"2003",0.170307692307692
"255","2003-06-22","Indonesia",0.055,"2003",0.0605192307692308
"256","2003-06-22","Mexico",0.056,"2003",0.0848846153846154
"257","2003-06-22","Philippines",0.058,"2003",0.0685
"258","2003-06-22","Singapore",0.143,"2003",0.131807692307692
"259","2003-06-22","Thailand",0,"2003",0
"260","2003-06-22","Venezuela",0.16,"2003",0.172442307692308
"261","2003-06-29","Argentina",0.031,"2003",0.0268653846153846
"262","2003-06-29","Bolivia",0.038,"2003",0.0758653846153846
"263","2003-06-29","Brazil",0.056,"2003",0.0835384615384615
"264","2003-06-29","India",0.17,"2003",0.170307692307692
"265","2003-06-29","Indonesia",0.047,"2003",0.0605192307692308
"266","2003-06-29","Mexico",0.071,"2003",0.0848846153846154
"267","2003-06-29","Philippines",0.058,"2003",0.0685
"268","2003-06-29","Singapore",0.132,"2003",0.131807692307692
"269","2003-06-29","Thailand",0,"2003",0
"270","2003-06-29","Venezuela",0.172,"2003",0.172442307692308
"271","2003-07-06","Argentina",0.034,"2003",0.0268653846153846
"272","2003-07-06","Bolivia",0.029,"2003",0.0758653846153846
"273","2003-07-06","Brazil",0.018,"2003",0.0835384615384615
"274","2003-07-06","India",0.195,"2003",0.170307692307692
"275","2003-07-06","Indonesia",0.1,"2003",0.0605192307692308
"276","2003-07-06","Mexico",0.086,"2003",0.0848846153846154
"277","2003-07-06","Philippines",0.056,"2003",0.0685
"278","2003-07-06","Singapore",0.12,"2003",0.131807692307692
"279","2003-07-06","Thailand",0,"2003",0
"280","2003-07-06","Venezuela",0.159,"2003",0.172442307692308
"281","2003-07-13","Argentina",0.036,"2003",0.0268653846153846
"282","2003-07-13","Bolivia",0.023,"2003",0.0758653846153846
"283","2003-07-13","Brazil",0.015,"2003",0.0835384615384615
"284","2003-07-13","India",0.174,"2003",0.170307692307692
"285","2003-07-13","Indonesia",0.073,"2003",0.0605192307692308
"286","2003-07-13","Mexico",0.072,"2003",0.0848846153846154
"287","2003-07-13","Philippines",0.057,"2003",0.0685
"288","2003-07-13","Singapore",0.129,"2003",0.131807692307692
"289","2003-07-13","Thailand",0,"2003",0
"290","2003-07-13","Venezuela",0.161,"2003",0.172442307692308
"291","2003-07-20","Argentina",0.029,"2003",0.0268653846153846
"292","2003-07-20","Bolivia",0.021,"2003",0.0758653846153846
"293","2003-07-20","Brazil",0.052,"2003",0.0835384615384615
"294","2003-07-20","India",0.187,"2003",0.170307692307692
"295","2003-07-20","Indonesia",0.047,"2003",0.0605192307692308
"296","2003-07-20","Mexico",0.065,"2003",0.0848846153846154
"297","2003-07-20","Philippines",0.064,"2003",0.0685
"298","2003-07-20","Singapore",0.128,"2003",0.131807692307692
"299","2003-07-20","Thailand",0,"2003",0
"300","2003-07-20","Venezuela",0.163,"2003",0.172442307692308
"301","2003-07-27","Argentina",0.027,"2003",0.0268653846153846
"302","2003-07-27","Bolivia",0.018,"2003",0.0758653846153846
"303","2003-07-27","Brazil",0.013,"2003",0.0835384615384615
"304","2003-07-27","India",0.18,"2003",0.170307692307692
"305","2003-07-27","Indonesia",0.049,"2003",0.0605192307692308
"306","2003-07-27","Mexico",0.068,"2003",0.0848846153846154
"307","2003-07-27","Philippines",0.064,"2003",0.0685
"308","2003-07-27","Singapore",0.123,"2003",0.131807692307692
"309","2003-07-27","Thailand",0,"2003",0
"310","2003-07-27","Venezuela",0.153,"2003",0.172442307692308
"311","2003-08-03","Argentina",0.024,"2003",0.0268653846153846
"312","2003-08-03","Bolivia",0.016,"2003",0.0758653846153846
"313","2003-08-03","Brazil",0.044,"2003",0.0835384615384615
"314","2003-08-03","India",0.116,"2003",0.170307692307692
"315","2003-08-03","Indonesia",0.039,"2003",0.0605192307692308
"316","2003-08-03","Mexico",0.095,"2003",0.0848846153846154
"317","2003-08-03","Philippines",0.081,"2003",0.0685
"318","2003-08-03","Singapore",0.112,"2003",0.131807692307692
"319","2003-08-03","Thailand",0,"2003",0
"320","2003-08-03","Venezuela",0.151,"2003",0.172442307692308
"321","2003-08-10","Argentina",0.022,"2003",0.0268653846153846
"322","2003-08-10","Bolivia",0.019,"2003",0.0758653846153846
"323","2003-08-10","Brazil",0.036,"2003",0.0835384615384615
"324","2003-08-10","India",0.101,"2003",0.170307692307692
"325","2003-08-10","Indonesia",0.039,"2003",0.0605192307692308
"326","2003-08-10","Mexico",0.092,"2003",0.0848846153846154
"327","2003-08-10","Philippines",0.091,"2003",0.0685
"328","2003-08-10","Singapore",0.131,"2003",0.131807692307692
"329","2003-08-10","Thailand",0,"2003",0
"330","2003-08-10","Venezuela",0.15,"2003",0.172442307692308
"331","2003-08-17","Argentina",0.022,"2003",0.0268653846153846
"332","2003-08-17","Bolivia",0.022,"2003",0.0758653846153846
"333","2003-08-17","Brazil",0.032,"2003",0.0835384615384615
"334","2003-08-17","India",0.1,"2003",0.170307692307692
"335","2003-08-17","Indonesia",0.039,"2003",0.0605192307692308
"336","2003-08-17","Mexico",0.089,"2003",0.0848846153846154
"337","2003-08-17","Philippines",0.134,"2003",0.0685
"338","2003-08-17","Singapore",0.127,"2003",0.131807692307692
"339","2003-08-17","Thailand",0,"2003",0
"340","2003-08-17","Venezuela",0.146,"2003",0.172442307692308
"341","2003-08-24","Argentina",0.019,"2003",0.0268653846153846
"342","2003-08-24","Bolivia",0.018,"2003",0.0758653846153846
"343","2003-08-24","Brazil",0.034,"2003",0.0835384615384615
"344","2003-08-24","India",0.103,"2003",0.170307692307692
"345","2003-08-24","Indonesia",0.064,"2003",0.0605192307692308
"346","2003-08-24","Mexico",0.063,"2003",0.0848846153846154
"347","2003-08-24","Philippines",0.163,"2003",0.0685
"348","2003-08-24","Singapore",0.116,"2003",0.131807692307692
"349","2003-08-24","Thailand",0,"2003",0
"350","2003-08-24","Venezuela",0.152,"2003",0.172442307692308
"351","2003-08-31","Argentina",0.019,"2003",0.0268653846153846
"352","2003-08-31","Bolivia",0.018,"2003",0.0758653846153846
"353","2003-08-31","Brazil",0.011,"2003",0.0835384615384615
"354","2003-08-31","India",0.135,"2003",0.170307692307692
"355","2003-08-31","Indonesia",0.055,"2003",0.0605192307692308
"356","2003-08-31","Mexico",0.084,"2003",0.0848846153846154
"357","2003-08-31","Philippines",0.152,"2003",0.0685
"358","2003-08-31","Singapore",0.111,"2003",0.131807692307692
"359","2003-08-31","Thailand",0,"2003",0
"360","2003-08-31","Venezuela",0.159,"2003",0.172442307692308
"361","2003-09-07","Argentina",0.019,"2003",0.0268653846153846
"362","2003-09-07","Bolivia",0.019,"2003",0.0758653846153846
"363","2003-09-07","Brazil",0.018,"2003",0.0835384615384615
"364","2003-09-07","India",0.143,"2003",0.170307692307692
"365","2003-09-07","Indonesia",0.047,"2003",0.0605192307692308
"366","2003-09-07","Mexico",0.137,"2003",0.0848846153846154
"367","2003-09-07","Philippines",0.149,"2003",0.0685
"368","2003-09-07","Singapore",0.109,"2003",0.131807692307692
"369","2003-09-07","Thailand",0,"2003",0
"370","2003-09-07","Venezuela",0.166,"2003",0.172442307692308
"371","2003-09-14","Argentina",0.019,"2003",0.0268653846153846
"372","2003-09-14","Bolivia",0.031,"2003",0.0758653846153846
"373","2003-09-14","Brazil",0.034,"2003",0.0835384615384615
"374","2003-09-14","India",0.196,"2003",0.170307692307692
"375","2003-09-14","Indonesia",0.047,"2003",0.0605192307692308
"376","2003-09-14","Mexico",0.165,"2003",0.0848846153846154
"377","2003-09-14","Philippines",0.147,"2003",0.0685
"378","2003-09-14","Singapore",0.113,"2003",0.131807692307692
"379","2003-09-14","Thailand",0,"2003",0
"380","2003-09-14","Venezuela",0.175,"2003",0.172442307692308
"381","2003-09-21","Argentina",0.019,"2003",0.0268653846153846
"382","2003-09-21","Bolivia",0.041,"2003",0.0758653846153846
"383","2003-09-21","Brazil",0.015,"2003",0.0835384615384615
"384","2003-09-21","India",0.242,"2003",0.170307692307692
"385","2003-09-21","Indonesia",0.063,"2003",0.0605192307692308
"386","2003-09-21","Mexico",0.124,"2003",0.0848846153846154
"387","2003-09-21","Philippines",0.137,"2003",0.0685
"388","2003-09-21","Singapore",0.123,"2003",0.131807692307692
"389","2003-09-21","Thailand",0,"2003",0
"390","2003-09-21","Venezuela",0.162,"2003",0.172442307692308
"391","2003-09-28","Argentina",0.019,"2003",0.0268653846153846
"392","2003-09-28","Bolivia",0.049,"2003",0.0758653846153846
"393","2003-09-28","Brazil",0.016,"2003",0.0835384615384615
"394","2003-09-28","India",0.292,"2003",0.170307692307692
"395","2003-09-28","Indonesia",0.054,"2003",0.0605192307692308
"396","2003-09-28","Mexico",0.188,"2003",0.0848846153846154
"397","2003-09-28","Philippines",0.123,"2003",0.0685
"398","2003-09-28","Singapore",0.12,"2003",0.131807692307692
"399","2003-09-28","Thailand",0,"2003",0
"400","2003-09-28","Venezuela",0.166,"2003",0.172442307692308
"401","2003-10-05","Argentina",0.019,"2003",0.0268653846153846
"402","2003-10-05","Bolivia",0.035,"2003",0.0758653846153846
"403","2003-10-05","Brazil",0.02,"2003",0.0835384615384615
"404","2003-10-05","India",0.565,"2003",0.170307692307692
"405","2003-10-05","Indonesia",0.069,"2003",0.0605192307692308
"406","2003-10-05","Mexico",0.182,"2003",0.0848846153846154
"407","2003-10-05","Philippines",0.141,"2003",0.0685
"408","2003-10-05","Singapore",0.108,"2003",0.131807692307692
"409","2003-10-05","Thailand",0,"2003",0
"410","2003-10-05","Venezuela",0.16,"2003",0.172442307692308
"411","2003-10-12","Argentina",0.019,"2003",0.0268653846153846
"412","2003-10-12","Bolivia",0.044,"2003",0.0758653846153846
"413","2003-10-12","Brazil",0.041,"2003",0.0835384615384615
"414","2003-10-12","India",0.928,"2003",0.170307692307692
"415","2003-10-12","Indonesia",0.075,"2003",0.0605192307692308
"416","2003-10-12","Mexico",0.16,"2003",0.0848846153846154
"417","2003-10-12","Philippines",0.123,"2003",0.0685
"418","2003-10-12","Singapore",0.108,"2003",0.131807692307692
"419","2003-10-12","Thailand",0,"2003",0
"420","2003-10-12","Venezuela",0.192,"2003",0.172442307692308
"421","2003-10-19","Argentina",0.022,"2003",0.0268653846153846
"422","2003-10-19","Bolivia",0.054,"2003",0.0758653846153846
"423","2003-10-19","Brazil",0.026,"2003",0.0835384615384615
"424","2003-10-19","India",0.99,"2003",0.170307692307692
"425","2003-10-19","Indonesia",0.068,"2003",0.0605192307692308
"426","2003-10-19","Mexico",0.157,"2003",0.0848846153846154
"427","2003-10-19","Philippines",0.109,"2003",0.0685
"428","2003-10-19","Singapore",0.119,"2003",0.131807692307692
"429","2003-10-19","Thailand",0,"2003",0
"430","2003-10-19","Venezuela",0.231,"2003",0.172442307692308
"431","2003-10-26","Argentina",0.024,"2003",0.0268653846153846
"432","2003-10-26","Bolivia",0.035,"2003",0.0758653846153846
"433","2003-10-26","Brazil",0.034,"2003",0.0835384615384615
"434","2003-10-26","India",0.91,"2003",0.170307692307692
"435","2003-10-26","Indonesia",0.076,"2003",0.0605192307692308
"436","2003-10-26","Mexico",0.122,"2003",0.0848846153846154
"437","2003-10-26","Philippines",0.103,"2003",0.0685
"438","2003-10-26","Singapore",0.174,"2003",0.131807692307692
"439","2003-10-26","Thailand",0,"2003",0
"440","2003-10-26","Venezuela",0.298,"2003",0.172442307692308
"441","2003-11-02","Argentina",0.029,"2003",0.0268653846153846
"442","2003-11-02","Bolivia",0.032,"2003",0.0758653846153846
"443","2003-11-02","Brazil",0.038,"2003",0.0835384615384615
"444","2003-11-02","India",0.679,"2003",0.170307692307692
"445","2003-11-02","Indonesia",0.075,"2003",0.0605192307692308
"446","2003-11-02","Mexico",0.159,"2003",0.0848846153846154
"447","2003-11-02","Philippines",0.096,"2003",0.0685
"448","2003-11-02","Singapore",0.195,"2003",0.131807692307692
"449","2003-11-02","Thailand",0,"2003",0
"450","2003-11-02","Venezuela",0.302,"2003",0.172442307692308
"451","2003-11-09","Argentina",0.027,"2003",0.0268653846153846
"452","2003-11-09","Bolivia",0.044,"2003",0.0758653846153846
"453","2003-11-09","Brazil",0.038,"2003",0.0835384615384615
"454","2003-11-09","India",0.509,"2003",0.170307692307692
"455","2003-11-09","Indonesia",0.06,"2003",0.0605192307692308
"456","2003-11-09","Mexico",0.132,"2003",0.0848846153846154
"457","2003-11-09","Philippines",0.09,"2003",0.0685
"458","2003-11-09","Singapore",0.157,"2003",0.131807692307692
"459","2003-11-09","Thailand",0,"2003",0
"460","2003-11-09","Venezuela",0.262,"2003",0.172442307692308
"461","2003-11-16","Argentina",0.027,"2003",0.0268653846153846
