Condition,Subject,Session,L1_RclP,L2_RclP,L3_RclP,L4_RclP,Int1_4,Int2_4,Int3_4,Int_L4,L1_ARC,L2_ARC,L3_ARC,L4_ARC
Not-Tested,241,2,,,,1.00,0,0,0,0,,,,1
Not-Tested,242,3,,,,0.07,1,1,1,3,,,,0
Not-Tested,243,4,,,,0.80,0,0,0,0,,,,0.06
Not-Tested,245,2,,,,0.13,3,0,2,5,,,,0
Not-Tested,246,3,,,,0.33,0,1,0,1,,,,-0.67
Not-Tested,247,4,,,,0.00,3,3,1,7,,,,0
Not-Tested,248,1,,,,0.47,0,1,1,2,,,,-0.08
Not-Tested,249,2,,,,0.20,0,0,0,0,,,,0
Not-Tested,253,2,,,,0.33,1,0,2,3,,,,-0.67
Not-Tested,254,3,,,,0.27,0,1,0,1,,,,-1
Not-Tested,255,4,,,,0.80,0,0,0,0,,,,0.06
Not-Tested,256,1,,,,0.27,1,0,1,2,,,,1
Not-Tested,258,3,,,,0.13,0,1,0,1,,,,0
